customer_key,customer_unique_id,total_spend,order_cnt,avg_order_value,avg_review_score,order_cancelled_cnt,avg_day_return_to_buy,cluster
37474,5608e32938ecf1231462bf6d77f3a80f,236.0,1,236.0,4.0,0,0.0,0
37475,1a0314ada5c57911dd69ff17029eb2c0,59.99,1,59.99,4.0,0,0.0,0
37476,b5977f9bdf907f172d1cda015b6df4cd,28.0,1,28.0,4.0,0,0.0,0
37477,9dbf644f502b6cfc35b22ceea01af302,24.99,1,24.99,5.0,0,0.0,0
37478,58c59e12a9aa68ceb0a0e6ee51abd087,895.0,1,895.0,3.0,0,0.0,2
37479,bbfbf00ca35317821c1d773e7509c4d1,119.8,1,119.8,4.0,0,0.0,0
37480,171aada65dce9cf497b39450f82cbc29,134.9,1,134.9,5.0,0,0.0,0
37481,d9e5fb5128b902f3849d7fe2c46d45e6,339.99,1,339.99,5.0,0,0.0,0
37482,1805cf17dbca7e07af3ad3ac6d734b4b,48.9,1,48.9,3.0,0,0.0,0
37483,bce5aead42285d6c445ebc60b9edba7e,12.5,1,12.5,5.0,0,0.0,0
37484,ac09d8657307aee9a81d04b2df5a517e,299.0,1,299.0,4.0,0,0.0,0
37485,31d93d58bb9db4942b13135a914733a7,153.8,1,153.8,4.0,0,0.0,0
37486,328dae7e902bc7ed98e3089e3f3bf412,99.15,1,99.15,5.0,0,0.0,0
37487,e3feffb41a633b6f649b9cd7762f21d9,99.0,1,99.0,0.0,0,0.0,0
37488,6109885a87d4541b0677c4d576c2c76f,24.99,1,24.99,5.0,0,0.0,0
37489,fbd45572765900cf329bb14ef313eb99,114.15,1,114.15,4.0,0,0.0,0
37490,b6d1c110073034dc955ff7da0115bb47,479.0,1,479.0,5.0,0,0.0,0
37491,2170f324dea64d2fb1b55a48987bc5a6,66.0,1,66.0,3.0,0,0.0,0
37492,06f660202926f97c1f4fda2b62b64d10,158.0,1,158.0,5.0,0,0.0,0
37493,ee285c8e36ce334381eb9f917832fcb2,48.9,1,48.9,4.0,0,0.0,0
37494,e0d349527f53448b3b6aafd0856b6e96,72.99,1,72.99,5.0,0,0.0,0
37495,4cf8b722229a83277ba425b6f10c4da4,39.99,1,39.99,4.0,0,0.0,0
37496,a1bf02afe06f2e42599a39c4f4487831,35.99,1,35.99,5.0,0,0.0,0
37497,2105aa9e3124e57f4f84b60561451a95,31.9,1,31.9,5.0,0,0.0,0
37498,e0d38008dc1f7bfd5ebc073c19c17af1,83.0,1,83.0,5.0,0,0.0,0
37499,f5ea9442b5b32fc1bdfa8216df06f4be,69.9,1,69.9,3.0,0,0.0,0
37500,aed34da08a69fa393990d632b6055909,89.0,1,89.0,5.0,0,0.0,0
37501,a33dd2674db89fc0fd043b7f0b5fc645,56.0,1,56.0,1.0,0,0.0,0
37502,be3af724923632983e8c41e9d7f05f49,99.99,1,99.99,5.0,0,0.0,0
37503,86c075f16b7fb2f798409e42897d5414,99.98,1,99.98,4.0,0,0.0,0
37504,3d3a1c1da33b0c79f31d7600af34c267,199.9,1,199.9,5.0,0,0.0,0
37505,373f58d5685e5d041b9fb63c7c580593,69.9,1,69.9,5.0,0,0.0,0
37506,76a0491dd70c125840fa259f00dfc351,232.8,3,77.6,5.0,0,45.0,1
37507,473741c358b796cea08b4626d15d5870,68.99,1,68.99,5.0,0,0.0,0
37508,bbf1349e7ebca6c69bd44b15ed861be2,279.99,1,279.99,5.0,0,0.0,0
37509,c96e04d30d9707030553d545b2a6837e,987.0,1,987.0,1.0,0,0.0,2
37510,e2ec63bf1526efb39fd5646c69fa8d36,78.0,1,78.0,5.0,0,0.0,0
37511,91db2e9633e507c47274a5767ef6fb2f,53.9,1,53.9,2.0,0,0.0,0
37512,758d4a98322aa56911e60a232c6521c9,89.9,1,89.9,4.0,0,0.0,0
37513,009e70fcdd4ea3769c73210414e73c64,32.9,1,32.9,2.0,0,0.0,0
37514,b16368d4d1a0c7b02b94b7747b6f7ee8,74.5,1,74.5,4.0,0,0.0,0
37515,99f8895e8d1d341a655d0800cb5590f9,89.0,1,89.0,5.0,0,0.0,0
37516,19e3f9065f659259a0c469800075612a,99.9,1,99.9,5.0,0,0.0,0
37517,39764cc782cd106848fa1ae25cb2ad4e,16.9,1,16.9,5.0,0,0.0,0
37518,83f7218d5d9227877fc3cc94c8d76022,71.8,1,71.8,5.0,0,0.0,0
37519,a8e7e46ac6445c015b64f296cdb91736,103.0,1,103.0,5.0,0,0.0,0
37520,124ef8d5acc80858c69d34e3e08b572d,395.9,2,197.95,3.5,0,328.0,1
37521,425d15aff689ecff86fc322b288a5c23,209.0,1,209.0,5.0,0,0.0,0
37522,ffd2e2ad95719ab7fedc9e02c5e26a62,29.0,1,29.0,5.0,0,0.0,0
37523,95444597528fa4349b35f17bf9f9b6f3,56.99,1,56.99,5.0,0,0.0,0
37524,b1ebec65a034631363bc8b1e8456882c,215.0,1,215.0,1.0,0,0.0,0
37525,3a4da0e9212bad03a4258e25895cb237,246.62,1,246.62,3.0,0,0.0,0
37526,66497ba44949e12429b9e0a1a4f867e2,93.9,1,93.9,5.0,0,0.0,0
37527,f2d37aeb6592f80698dd460082e28017,165.0,1,165.0,5.0,0,0.0,0
37528,a9d7b1930b1726fae8b6bd573b7dcb11,64.49,1,64.49,1.0,0,0.0,0
37529,99ec5a3a454b7b0207830f7d3829c014,9.99,1,9.99,1.0,0,0.0,0
37530,9290c171fe190ddc1a986b4edc6d6704,27.9,1,27.9,4.0,0,0.0,0
37531,3492ae2712b914222e66812da094cc77,151.9,1,151.9,5.0,0,0.0,0
37532,4c93fc5b8925dc00f2e30a25963f775e,149.0,1,149.0,5.0,0,0.0,0
37533,38212384f91f2a880a3f2f8686d73ae3,24.5,1,24.5,5.0,0,0.0,0
37534,7a05e5b6613bc3bf1952a7aa8542a05b,165.0,1,165.0,5.0,0,0.0,0
37535,2d60b42c7156339c9c13adf38fde9e2e,69.9,1,69.9,4.0,0,0.0,0
37536,554c820b95507020c8f9ff8cb388b071,74.9,1,74.9,4.0,0,0.0,0
37538,8e2cbe0458411443853166c1a81d2f9d,99.8,1,99.8,5.0,0,0.0,0
37539,13f6b0a02ae595d07b4754cd8d2cfaca,109.9,1,109.9,5.0,0,0.0,0
